,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Females ;,Monthly hours worked in all jobs ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Northern Territory ;,Monthly hours worked in all jobs ;  > Australian Capital Territory ;
Sep-1990,1163743.5,1165984.1,766984.5,768878.4,396759.0,397105.7,1058018.1,1060909.6,744238.4,746491.8,313779.7,314417.8,105725.4,105074.5,22746.1,22386.6,82979.3,82687.9,395001.3,396638.8,302381.2,302996.5,199138.8,199456.4,95008.8,94681.8,109402.2,109958.3,28683.4,28837.4,12026.2,21019.2
Oct-1990,1158304.6,1151328.5,763084.7,758347.3,395219.9,392981.2,1052387.8,1044830.0,740219.6,735282.3,312168.3,309547.8,105916.8,106498.5,22865.2,23065.0,83051.6,83433.5,394545.4,392073.6,299288.2,297484.1,198019.9,198556.6,94789.2,94166.9,108772.9,108019.9,28557.9,28266.6,11901.0,20995.6
Nov-1990,1152782.0,1150424.3,759022.4,757544.8,393759.5,392879.5,1046436.5,1044216.5,735892.4,734500.1,310544.1,309716.4,106345.4,106207.8,23130.0,23044.7,83215.4,83163.1,394307.2,394463.9,296578.2,294664.9,196791.3,196071.7,94654.1,96835.4,108168.6,106866.1,28465.6,28507.4,11755.0,20980.3
Dec-1990,1147401.8,1152147.5,754909.8,758682.8,392492.1,393464.7,1040498.0,1044900.2,731424.3,734896.7,309073.7,310003.5,106903.8,107247.2,23485.4,23786.1,83418.4,83461.1,394359.0,397233.8,294368.8,295341.9,195705.4,195910.0,94573.5,95040.2,107636.4,108262.8,28379.2,28293.3,11652.7,20995.9
Jan-1991,1142424.2,1144159.5,750882.3,749132.6,391541.9,395026.9,1034914.5,1038947.0,727017.8,725729.6,307896.8,313217.5,107509.6,105212.5,23864.5,23403.0,83645.1,81809.4,394345.8,393482.5,292453.1,292855.8,194816.4,194971.6,94520.8,93743.6,107278.5,107952.4,28275.3,28547.4,11653.7,21048.6
Feb-1991,1137940.5,1139403.1,747030.2,749082.9,390910.3,390320.2,1029868.5,1031301.9,722810.8,724511.6,307057.7,306790.3,108072.0,108101.2,24219.4,24571.3,83852.6,83530.0,393934.2,391699.5,290649.8,291868.4,194274.9,193162.0,94364.5,94896.6,107068.0,106911.1,28147.6,28222.9,11759.6,21122.6
Mar-1991,1133899.3,1132807.0,743393.5,741702.1,390505.8,391104.9,1025427.0,1023619.5,718881.6,717323.3,306545.4,306296.3,108472.4,109187.5,24511.9,24378.9,83960.5,84808.6,393096.8,387736.5,288749.5,288680.2,194051.5,194122.2,94024.0,94133.3,106933.9,106699.2,27993.5,27885.4,11923.8,21193.2
Apr-1991,1130541.0,1127388.6,740181.1,737418.2,390359.8,389970.4,1021797.2,1018642.6,715421.2,712340.1,306376.0,306302.6,108743.8,108746.0,24760.0,25078.2,83983.8,83667.8,392004.8,392837.1,286886.2,280573.6,194061.0,194650.9,93495.8,93732.7,106855.7,103639.7,27825.9,27938.4,12089.6,21236.3
May-1991,1128017.3,1131754.5,737538.0,740891.0,390479.3,390863.6,1019166.5,1022914.0,712592.8,716222.9,306573.7,306691.1,108850.8,108840.5,24945.2,24668.1,83905.6,84172.4,390668.9,392012.6,285375.0,285323.3,194117.1,194519.0,92853.0,92587.6,106794.5,106837.9,27672.0,27477.1,12201.0,21231.9
Jun-1991,1126583.8,1124509.3,735769.8,734451.0,390814.0,390058.3,1017794.3,1015963.3,710714.1,709375.6,307080.2,306587.7,108789.5,108546.0,25055.7,25075.4,83733.8,83470.6,389245.5,386261.0,284497.0,282264.2,194203.2,193410.4,92213.6,93535.9,106764.5,107135.0,27574.7,27640.5,12212.6,21186.1
Jul-1991,1125958.6,1128761.0,734804.4,737413.6,391154.2,391347.4,1017277.1,1019641.8,709703.8,712174.3,307573.3,307467.4,108681.5,109119.2,25100.6,25239.3,83580.9,83879.9,387751.0,388314.2,284345.0,286487.7,194365.0,195546.9,91669.9,91161.3,106768.7,106544.5,27548.7,27543.4,12117.3,21105.8
Aug-1991,1125680.5,1121711.0,734384.6,730520.3,391295.8,391190.8,1017029.0,1013584.7,709289.5,705447.5,307739.5,308137.2,108651.4,108126.4,25095.1,25072.8,83556.3,83053.6,386234.1,386994.0,284756.4,282441.5,194636.9,193669.0,91316.9,90999.1,106756.6,107004.3,27599.7,27518.5,11941.1,21019.2
Sep-1991,1125358.2,1126151.3,734151.6,733889.9,391206.7,392261.4,1016557.7,1016824.2,709063.1,708501.7,307494.6,308322.5,108800.5,109327.1,25088.5,25388.2,83712.1,83938.9,384929.7,385758.6,285373.9,286948.1,195070.6,195063.6,91181.6,91052.1,106718.0,106782.4,27692.9,27640.1,11718.3,20938.3
Oct-1991,1124795.3,1128205.5,733827.7,736272.9,390967.7,391932.7,1015663.9,1020115.8,708685.3,711635.9,306978.5,308479.9,109131.4,108089.7,25142.3,24637.0,83989.1,83452.7,384070.6,389556.3,285822.6,286192.6,195667.0,194607.3,91200.6,92264.8,106655.6,105686.1,27792.3,27738.1,11509.4,20866.5
Nov-1991,1124160.2,1125964.5,733502.6,736567.8,390657.5,389396.6,1014535.2,1014696.4,708196.2,709623.0,306339.0,305073.4,109625.0,111268.0,25306.4,26944.8,84318.6,84323.3,383724.9,383321.7,285915.3,285240.1,196333.5,198125.4,91256.5,91471.0,106573.2,107848.7,27855.5,28023.3,11346.0,20799.1
Dec-1991,1123436.1,1121210.8,733054.4,732103.3,390381.6,389107.5,1013223.0,1010158.3,707459.4,707022.8,305763.7,303135.5,110213.0,111052.5,25595.0,25080.6,84618.0,85971.9,383917.4,379743.9,285516.9,287225.4,196906.7,196268.8,91251.7,91140.2,106485.7,106935.6,27836.6,27905.0,11255.5,20737.2
Jan-1992,1122630.3,1122227.9,732442.0,731441.4,390188.3,390786.5,1011783.6,1011477.0,706431.7,705519.6,305351.8,305957.4,110846.7,110750.9,26010.3,25921.8,84836.4,84829.1,384469.2,383182.5,284711.5,284623.2,197282.0,197409.9,91128.3,91354.3,106411.5,105920.3,27718.4,27859.7,11239.1,20689.6
Feb-1992,1121969.1,1119873.0,731842.7,729094.9,390126.4,390778.1,1010498.0,1008447.3,705352.8,702439.6,305145.2,306007.8,111471.1,111425.7,26489.9,26655.3,84981.2,84770.4,385234.6,386214.8,283768.3,281429.0,197423.5,197500.1,90884.0,89119.3,106385.2,106149.9,27520.3,27391.2,11267.9,20671.7
Mar-1992,1121628.1,1126373.7,731395.2,735359.0,390232.9,391014.7,1009514.9,1014126.0,704420.8,707996.2,305094.2,306129.8,112113.2,112247.7,26974.4,27362.7,85138.8,84885.0,385938.8,388065.0,282946.8,283789.1,197368.8,197707.8,90595.7,90952.9,106415.3,106326.4,27295.7,27411.0,11306.9,20678.3
Apr-1992,1121820.6,1120916.2,731333.0,731752.0,390487.6,389164.2,1008987.1,1008080.2,703929.9,704828.6,305057.3,303251.5,112833.5,112836.0,27403.1,26923.4,85430.4,85912.6,386489.8,385898.8,282521.6,282376.4,197316.8,197660.1,90369.9,89552.9,106483.2,106621.2,27111.5,27008.1,11319.7,20702.8
May-1992,1122398.7,1118518.4,731603.8,728463.0,390794.9,390055.4,1008717.3,1005801.4,703857.2,700512.0,304860.1,305289.4,113681.4,112717.0,27746.6,27951.0,85934.8,84766.0,386738.7,385420.2,282437.4,280554.1,197413.5,196297.7,90237.2,90663.9,106569.6,106785.5,27006.9,26657.5,11294.8,20756.1
Jun-1992,1122982.9,1123700.7,731968.8,732798.7,391014.1,390902.0,1008350.6,1008643.9,703984.3,704743.1,304366.3,303900.8,114632.3,115056.8,27984.5,28055.6,86647.8,87001.2,386519.0,385154.8,282632.7,284806.8,197736.7,197876.2,90195.6,89860.7,106662.4,106818.0,26982.3,26916.9,11249.6,20849.6
Jul-1992,1123233.5,1123849.6,732097.3,731960.8,391136.2,391888.8,1007747.8,1008926.0,704001.5,703952.7,303746.3,304973.3,115485.8,114923.7,28095.8,28008.1,87389.9,86915.5,385648.1,387950.8,282906.8,283709.3,198279.2,195024.4,90211.7,90318.3,106779.8,106952.0,26996.7,27172.2,11210.1,20977.3
Aug-1992,1123071.7,1125438.2,732004.0,732916.2,391067.7,392522.0,1006982.6,1008383.4,703875.4,704519.1,303107.1,303864.3,116089.1,117054.8,28128.5,28397.1,87960.5,88657.7,384223.1,385948.2,282999.2,283577.1,198985.1,199215.0,90252.4,90407.1,106993.2,106508.9,26993.2,27655.0,11182.2,21127.5
Sep-1992,1122469.7,1123495.6,731734.9,733184.2,390734.8,390311.4,1006118.9,1007131.9,703637.1,705237.9,302481.8,301894.0,116350.8,116363.7,28097.8,27946.3,88253.0,88417.5,382578.5,383521.9,282902.5,282424.9,199746.8,200029.8,90351.6,90977.3,107401.0,107376.5,26938.4,27133.9,11166.6,21280.0
Oct-1992,1121921.6,1122848.4,731624.3,732930.0,390297.3,389918.4,1005661.7,1005799.8,703591.4,704776.8,302070.3,301023.0,116259.9,117048.6,28032.9,28153.2,88227.0,88895.5,381062.0,378492.3,282742.4,282779.8,200496.5,200659.9,90554.9,89651.5,108048.2,111652.2,26822.4,26784.7,11154.5,21427.4
Nov-1992,1122039.1,1117322.6,731914.7,728382.8,390124.4,388939.8,1006167.9,1002248.5,703973.0,700969.1,302194.9,301279.4,115871.2,115074.1,27941.7,27413.7,87929.5,87660.4,380105.3,378303.7,282687.7,282848.0,201289.2,197453.3,90868.0,90933.5,108902.6,109058.7,26657.8,25996.3,11155.9,21554.1
Dec-1992,1123354.6,1120916.7,732923.1,730042.6,390431.6,390874.1,1008038.4,1006689.4,705089.3,702001.6,302949.1,304687.8,115316.2,114227.4,27833.8,28041.0,87482.5,86186.3,379928.6,378909.9,282870.1,281905.5,202178.9,202326.8,91273.0,90834.7,109846.6,107707.2,26495.5,26395.6,11179.7,21661.3
Jan-1993,1125754.1,1127193.8,734584.9,737578.0,391169.2,389615.8,1011005.0,1011578.5,706902.7,709222.3,304102.3,302356.2,114749.1,115615.3,27682.3,28355.7,87066.9,87259.6,380386.6,382128.2,283250.6,282500.1,203046.5,201533.6,91687.9,91948.0,110762.4,110057.3,26389.1,26301.2,11214.6,21740.0
Feb-1993,1128371.2,1126414.3,736317.7,734589.1,392053.5,391825.2,1014087.2,1012795.9,708800.3,707861.4,305287.0,304934.4,114283.9,113618.4,27517.4,26727.6,86766.5,86890.8,381008.4,382114.3,283546.8,284517.1,203744.6,204804.5,92041.5,92986.0,111561.4,102447.2,26370.5,26533.1,11255.9,21775.7
Mar-1993,1130389.5,1139121.1,737613.0,742701.0,392776.5,396420.1,1016383.5,1024966.7,710244.2,715030.5,306139.3,309936.2,114006.0,114154.3,27368.8,27670.5,86637.2,86483.9,381306.5,381410.1,283595.4,284724.0,204194.6,209187.1,92275.4,91882.5,112189.3,112429.1,26433.7,26190.7,11295.0,21783.9
Apr-1993,1131472.4,1132637.6,738271.2,737703.1,393201.2,394934.5,1017489.4,1019227.3,710974.3,710896.4,306515.1,308331.0,113983.0,113410.3,27296.9,26806.7,86686.1,86603.6,381088.8,382006.9,283422.5,283957.0,204402.4,205909.2,92365.4,92073.2,112660.6,108989.8,26557.9,26530.6,11317.3,21778.8
May-1993,1131777.9,1129874.6,738346.7,738100.9,393431.2,391773.6,1017535.5,1015714.4,710996.4,710772.5,306539.1,304941.8,114242.4,114160.2,27350.3,27328.4,86892.1,86831.8,380601.5,379323.3,283077.6,282066.0,204422.0,203424.4,92334.0,92421.4,112992.4,112766.2,26704.9,26803.0,11334.4,21773.6
Jun-1993,1132122.6,1131440.1,738407.1,737652.4,393715.4,393787.7,1017367.0,1016753.3,710859.5,710214.0,306507.4,306539.3,114755.6,114686.8,27547.6,27438.4,87208.0,87248.3,380321.9,380634.0,282754.4,282588.0,204382.1,202419.3,92276.3,92446.0,113202.4,113612.1,26850.1,26974.7,11357.3,21771.6
Jul-1993,1133319.6,1128443.3,739015.9,737132.8,394303.6,391310.5,1017890.4,1014852.3,711171.8,709023.4,306718.6,305828.9,115429.2,113591.0,27844.2,28109.4,87585.0,85481.6,380579.6,375021.6,282764.9,282049.3,204506.8,205803.7,92243.6,92116.2,113339.3,113370.0,26979.5,27030.7,11398.5,21793.1
Aug-1993,1135868.3,1136691.7,740497.6,741092.1,395370.7,395599.6,1019696.3,1020588.6,712346.0,713181.3,307350.3,307407.2,116172.0,116103.1,28151.6,27910.8,88020.4,88192.4,381486.2,381456.0,283339.6,284020.7,204930.2,204882.4,92308.3,92607.6,113522.6,113387.7,27073.3,26895.0,11456.8,21834.8
Sep-1993,1139613.3,1134406.0,742692.0,737510.3,396921.3,396895.7,1022726.1,1016206.7,714271.9,708323.0,308454.2,307883.6,116887.2,118199.3,28420.1,29187.2,88467.1,89012.1,382887.8,381688.2,284452.4,284426.7,205633.8,201748.2,92485.6,91952.7,113866.1,114032.8,27134.9,27229.7,11517.2,21872.5
Oct-1993,1143953.0,1139983.0,745248.9,742903.9,398704.1,397079.0,1026430.4,1024879.0,716611.7,714514.9,309818.7,310364.1,117522.6,115104.0,28637.2,28389.1,88885.4,86714.9,384589.4,385898.4,285784.2,283679.0,206387.7,205381.0,92724.5,90113.6,114411.8,113899.4,27198.1,27207.6,11546.7,21891.7
Nov-1993,1148180.7,1157152.8,747704.1,751853.3,400476.7,405299.5,1030103.8,1038861.2,718898.5,722839.7,311205.3,316021.4,118076.9,118291.7,28805.5,29013.6,89271.4,89278.1,386300.1,394233.7,287001.4,288670.8,206981.9,207510.3,92983.9,93174.2,115208.6,114576.7,27299.5,26518.5,11521.6,21881.4
Dec-1993,1152069.6,1157777.4,749934.6,755833.8,402135.0,401943.6,1033430.6,1039722.4,720964.6,727302.4,312466.0,312420.0,118639.0,118054.9,28970.0,28531.4,89669.1,89523.6,387741.0,387994.1,287941.9,289077.5,207381.7,208901.1,93198.1,93386.2,116175.5,116529.7,27439.6,28143.1,11455.3,21857.9
Jan-1994,1155599.2,1159301.3,751901.3,754981.0,403697.9,404320.3,1036356.7,1038770.8,722777.8,725591.6,313578.9,313179.2,119242.5,120530.6,29123.5,29389.5,90119.0,91141.1,388776.6,383834.3,288548.5,293831.5,207897.2,211510.6,93268.0,93833.9,117077.1,117384.8,27591.7,27209.7,11398.1,21847.1
Feb-1994,1158925.0,1155437.4,753735.7,751497.0,405189.3,403940.3,1039002.2,1036342.1,724477.5,722173.1,314524.8,314169.0,119922.8,119095.3,29258.2,29324.0,90664.6,89771.3,389375.9,389569.8,288965.3,285642.1,208686.6,208099.3,93223.5,93259.7,117726.7,117720.4,27726.5,28035.3,11403.5,21888.0
Mar-1994,1162476.6,1159094.8,755832.1,751922.9,406644.5,407171.9,1041808.5,1038927.3,726448.1,722616.4,315360.4,316310.9,120668.1,120167.4,29384.0,29306.4,91284.1,90861.0,389867.9,390613.7,289491.6,288015.6,209827.6,207779.5,93153.3,92445.2,118055.3,118737.6,27821.9,28055.0,11491.0,21980.4
Apr-1994,1166699.5,1164597.9,758549.0,759520.8,408150.5,405077.1,1045210.8,1040894.8,729009.7,729762.5,316201.1,311132.3,121488.7,123703.1,29539.3,29758.3,91949.4,93944.8,390640.8,388171.8,290422.5,290303.3,211377.9,210272.6,93141.3,96160.9,118145.1,119276.1,27848.0,26947.8,11646.5,22092.1
May-1994,1171710.8,1175285.5,762087.0,766166.1,409623.7,409119.4,1049353.5,1052591.6,732342.3,736498.9,317011.2,316092.6,122357.3,122693.9,29744.7,29667.1,92612.6,93026.8,391901.9,396637.1,291935.4,291973.1,213212.7,214440.2,93286.4,93245.8,118106.5,116873.9,27790.2,27796.9,11834.5,22181.3
Jun-1994,1177112.2,1173660.3,766127.4,764644.9,410984.8,409015.4,1053901.0,1052936.2,736101.5,735062.1,317799.5,317874.1,123211.2,120724.2,30025.9,29582.8,93185.3,91141.4,393546.2,392429.9,293823.0,292381.6,215089.9,216896.7,93534.8,92686.0,118085.8,117128.3,27694.1,27621.7,12011.8,22216.7
Jul-1994,1182128.2,1183586.0,769957.8,770779.8,412170.4,412806.1,1058123.0,1058103.7,739568.1,739239.5,318554.9,318864.2,124005.2,125482.3,30389.7,31540.4,93615.5,93941.9,395411.8,395645.9,295564.8,296944.6,216688.0,214835.8,93719.0,94831.8,118235.8,119026.3,27616.7,27740.3,12163.0,22209.7
Aug-1994,1186286.7,1190276.1,773050.7,777441.8,413236.0,412834.3,1061531.8,1065562.4,742222.9,746331.1,319308.9,319231.3,124755.0,124713.7,30827.8,31110.7,93927.1,93603.0,397329.7,399938.3,296749.9,297486.7,217844.4,218995.9,93712.4,93606.0,118561.4,118517.8,27613.8,27529.9,12297.6,22176.2
Sep-1994,1189365.8,1191045.4,775236.1,775181.2,414129.7,415864.3,1063921.1,1066545.6,743955.8,745546.6,319965.4,320998.9,125444.7,124499.9,31280.4,29634.6,94164.3,94865.3,399124.1,399286.3,297198.3,298507.4,218562.9,218465.3,93478.5,93704.8,119020.6,119418.5,27692.1,27329.8,12451.6,22145.0
Oct-1994,1191673.7,1190142.8,776701.3,777630.7,414972.5,412512.1,1065509.6,1063537.1,745021.0,744928.4,320488.6,318608.7,126164.2,126605.7,31680.3,32702.3,94483.9,93903.3,400680.7,399257.4,297124.4,297367.9,218940.1,219083.5,93128.1,93761.3,119542.6,118124.8,27812.6,27912.9,12626.1,22125.8
Nov-1994,1194034.1,1192138.7,778046.1,774614.4,415988.0,417524.3,1067087.6,1066032.3,746046.6,742699.5,321041.0,323332.8,126946.5,126106.4,31999.5,31914.9,94947.0,94191.5,402241.8,401471.9,296970.2,295571.4,219292.1,219481.4,92777.6,91822.2,120065.0,120451.7,27947.9,28272.0,12813.4,22121.7
Dec-1994,1197329.5,1197149.7,779781.9,779235.5,417547.6,417914.3,1069513.0,1067582.8,747554.0,746621.8,321959.0,320961.0,127816.5,129566.9,32227.9,32613.6,95588.6,96953.3,403992.4,404528.4,297137.9,296565.5,219841.3,219630.0,92534.1,91467.3,120607.2,121561.7,28082.9,27976.8,12988.9,22134.0
Jan-1995,1201892.6,1200987.8,782069.1,781667.1,419823.5,419320.6,1073166.2,1072584.6,749670.2,749345.8,323495.9,323238.8,128726.4,128403.2,32398.8,32321.3,96327.6,96081.8,405943.6,406730.6,297885.9,296858.4,220690.0,220237.3,92484.4,92942.9,121222.3,120153.2,28182.0,29103.9,13100.8,22161.5
Feb-1995,1207392.6,1205809.7,784718.9,786224.4,422673.7,419585.3,1077786.5,1076827.7,752195.5,753840.8,325591.1,322986.9,129606.1,128981.9,32523.4,32383.6,97082.7,96598.3,408039.1,406539.1,299218.8,299090.5,221867.5,220380.9,92575.6,94685.8,121866.3,121991.0,28236.2,27819.7,13120.4,22199.0
Mar-1995,1212887.7,1207764.4,787196.4,785248.3,425691.2,422516.1,1082555.7,1076925.6,754593.5,752912.8,327962.2,324012.7,130332.0,130838.9,32603.0,32335.5,97729.0,98503.4,410035.8,403549.5,300794.6,302133.3,223212.0,223202.1,92692.8,93051.4,122457.7,122506.7,28266.1,28358.6,13058.3,22249.3
Apr-1995,1217441.7,1225120.1,789022.8,794925.3,428418.9,430194.8,1086568.6,1093755.0,756368.7,761816.7,330200.0,331938.3,130873.1,131365.1,32654.2,33108.6,98218.9,98256.5,411790.5,414917.0,302213.7,302280.4,224415.4,226630.4,92807.2,92304.1,122988.0,124741.7,28302.8,28381.7,12946.8,22326.4
May-1995,1220705.6,1219189.8,790155.0,786968.7,430550.7,432221.1,1089452.1,1087647.9,757471.2,754474.2,331980.9,333173.7,131253.6,131541.8,32683.8,32494.5,98569.8,99047.4,413327.5,410512.7,303164.0,303278.7,225185.3,224567.8,92918.0,93499.0,123446.4,123677.8,28347.6,28370.1,12799.9,22424.3
Jun-1995,1223009.0,1224756.9,790862.5,789356.5,432146.4,435400.4,1091443.1,1094212.5,758179.9,756623.1,333263.2,337589.4,131565.9,130544.4,32682.7,32733.4,98883.2,97811.0,414806.3,414889.8,303631.8,303945.7,225343.6,226147.6,93066.0,92891.4,123827.8,123836.3,28373.4,28018.8,12649.0,22515.4
Jul-1995,1224648.1,1225775.3,791362.3,793082.5,433285.8,432692.8,1092805.5,1093611.2,758746.5,760730.8,334059.0,332880.4,131842.6,132164.1,32615.8,32351.8,99226.8,99812.3,416105.7,417056.7,303845.5,304484.8,224984.8,224938.7,93343.9,92378.6,124077.3,123305.8,28354.9,28626.0,12524.8,22577.1
Aug-1995,1226087.7,1223863.3,791765.7,790776.6,434322.0,433086.8,1094020.2,1091993.4,759315.8,757932.6,334704.4,334060.8,132067.5,131870.0,32449.9,32844.0,99617.6,99026.0,417068.9,415855.5,304158.3,303445.4,224395.2,222241.4,93718.7,94122.9,124211.2,124366.5,28309.0,28524.2,12451.9,22606.6
Sep-1995,1227700.1,1228254.1,792216.6,792943.8,435483.5,435310.3,1095356.1,1095419.0,759978.7,760522.5,335377.4,334896.6,132344.0,132835.0,32237.9,32421.3,100106.1,100413.7,417635.2,418725.2,304785.9,303683.6,223978.3,224932.7,94071.4,94118.0,124303.4,124597.5,28259.3,27139.5,12435.5,22630.0
Oct-1995,1229504.8,1230624.9,792714.5,792988.4,436790.3,437636.5,1096806.0,1098047.4,760650.3,761091.6,336155.8,336955.8,132698.8,132577.4,32064.3,31896.8,100634.5,100680.7,417764.9,417996.5,305647.0,305207.8,224016.9,221894.7,94286.5,94549.6,124393.7,128196.5,28227.8,28062.9,12483.3,22664.6
Nov-1995,1231429.2,1233318.2,793451.2,794708.6,437977.9,438609.6,1098327.4,1099142.3,761441.4,761452.6,336886.0,337689.7,133101.8,134175.9,32009.9,33256.0,101091.9,100919.9,417665.4,419552.0,306569.3,306985.3,224601.7,224632.1,94320.4,94303.7,124488.4,124190.1,28237.8,28182.0,12590.1,22710.4
Dec-1995,1232960.4,1229794.3,794196.5,791768.5,438763.9,438025.8,1099493.0,1096667.0,762113.2,760134.5,337379.8,336532.6,133467.4,133127.3,32083.3,31634.0,101384.1,101493.3,417432.7,413590.1,307485.6,308447.2,225506.5,225696.6,94163.4,94741.2,124584.1,123735.5,28286.5,28112.3,12709.9,22746.1
Jan-1996,1233979.8,1240682.3,794941.7,800844.1,439038.2,439838.3,1100231.1,1107610.7,762668.8,769331.2,337562.3,338279.5,133748.8,133071.6,32272.9,31512.9,101475.9,101558.7,417239.4,417548.2,308233.0,313592.7,226402.9,226128.4,93867.0,93508.3,124637.3,124637.3,28374.8,28679.6,12816.1,22751.0
Feb-1996,1234380.0,1234656.8,795467.4,796161.1,438912.6,438495.7,1100481.9,1099641.2,762947.8,763043.1,337534.1,336598.1,133898.1,135015.6,32519.6,33118.0,101378.5,101897.6,416899.4,416968.1,308710.7,307035.8,226937.1,228130.3,93603.8,93252.1,124652.4,124980.5,28471.3,28446.0,12901.3,22714.8
Mar-1996,1234157.0,1235030.2,795595.0,795834.1,438561.9,439196.2,1100272.8,1101084.6,762836.7,762785.6,337436.0,338299.0,133884.2,133945.6,32758.3,33048.5,101125.9,100897.2,416385.2,416649.9,308932.0,307960.6,226998.2,227550.5,93491.0,93352.8,124687.2,125212.7,28524.5,28422.7,12963.8,22637.5
Apr-1996,1233468.8,1241987.3,795290.9,803575.0,438177.9,438412.3,1099684.2,1108116.5,762328.3,770548.6,337355.9,337567.9,133784.6,133870.9,32962.6,33026.5,100822.0,100844.4,415653.3,420773.4,308980.8,310132.4,226693.6,227983.4,93532.3,95638.2,124758.7,123967.5,28539.4,28796.4,13027.2,22537.4
May-1996,1232638.6,1225574.3,794637.4,789171.4,438001.3,436402.9,1098884.7,1092803.2,761447.6,756500.5,337437.1,336302.6,133753.9,132771.1,33189.7,32670.9,100564.2,100100.2,414898.4,410516.3,308859.4,310167.5,226274.2,223772.0,93667.8,92823.8,124902.2,124995.7,28541.8,28221.1,13121.9,22439.1
Jun-1996,1232106.7,1230405.5,793940.9,794831.2,438165.8,435574.3,1098154.5,1095336.4,760450.7,761396.4,337703.8,333940.0,133952.3,135069.1,33490.2,33434.8,100462.1,101634.3,414397.5,414458.0,308609.4,307323.5,226020.6,225395.3,93778.1,94325.7,125117.1,124451.6,28543.0,28821.8,13239.5,22365.2
Jul-1996,1231964.7,1232977.7,793403.4,794677.2,438561.3,438300.5,1097568.1,1099306.5,759541.1,760918.7,338027.0,338387.8,134396.5,133671.2,33862.3,33758.5,100534.3,99912.7,414362.5,412897.5,308261.3,308698.0,225981.1,226450.6,93775.7,94377.1,125358.4,126066.1,28546.3,28194.1,13333.2,22310.9
Aug-1996,1232127.8,1234328.1,793099.3,792286.6,439028.5,442041.5,1097106.9,1098990.2,758826.9,758077.7,338280.0,340912.6,135020.9,135337.9,34272.4,34209.0,100748.5,101128.9,414880.9,415966.3,307950.7,307970.5,226067.7,226515.6,93628.6,93490.9,125618.7,126140.3,28530.0,28603.9,13363.3,22261.6
Sep-1996,1232392.6,1231981.7,792909.4,792191.2,439483.2,439790.5,1096651.5,1095991.9,758256.2,757025.7,338395.2,338966.2,135741.1,135989.8,34653.2,35165.5,101088.0,100824.3,415669.0,414273.7,307859.8,307247.3,226181.9,226790.5,93370.7,93350.9,125888.3,125408.6,28475.3,28959.9,13317.9,22208.4
Oct-1996,1232791.4,1236573.7,792870.3,794438.8,439921.2,442134.9,1096327.9,1099391.7,757938.8,759238.8,338389.1,340153.0,136463.6,137182.0,34931.5,35200.1,101532.1,101981.9,416518.4,420208.5,308139.3,307370.3,226238.8,226399.9,93096.1,92781.4,126145.4,126239.6,28391.4,28301.6,13221.8,22156.4
Nov-1996,1233561.7,1232342.5,793114.6,793456.8,440447.2,438885.7,1096349.7,1095704.2,758008.5,758740.0,338341.2,336964.2,137212.0,136638.4,35106.1,34716.9,102105.9,101921.5,417183.2,415457.5,308663.4,309532.6,226274.1,225627.4,92887.5,92883.1,126433.8,125800.9,28264.5,28140.8,13113.5,22135.2
Dec-1996,1234783.2,1230039.1,793643.2,791492.8,441140.0,438546.3,1096800.5,1093005.5,758420.3,756502.5,338380.2,336503.0,137982.7,137033.5,35222.9,34990.3,102759.8,102043.2,417530.2,417163.9,309136.2,304041.3,226405.7,226018.1,92808.8,93021.1,126744.8,126722.2,28089.4,28172.9,13056.6,22163.8
Jan-1997,1236579.4,1237142.3,794682.2,794325.7,441897.2,442816.6,1097861.1,1098022.1,759344.8,758827.7,338516.3,339194.5,138718.3,139120.2,35337.3,35498.0,103380.9,103622.1,417794.3,417116.3,309417.4,310465.2,226699.0,225932.3,92916.9,92771.6,127018.8,127950.1,27890.1,27728.3,13096.9,22232.4
