DATAFLOW,MEASURE: Measure,AGE: Age,SEX: Sex,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,REPYEAREND: Reporting Year End Day
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,4: South Australia,A: Annual,2013,11400,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,4: South Australia,A: Annual,2014,11710,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,4: South Australia,A: Annual,2015,11570,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,4: South Australia,A: Annual,2016,11390,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,4: South Australia,A: Annual,2017,11680,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,4: South Australia,A: Annual,2018,12010,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,4: South Australia,A: Annual,2019,13360,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,4: South Australia,A: Annual,2020,13740,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,4: South Australia,A: Annual,2021,3230,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,4: South Australia,A: Annual,2022,10510,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,AUS: Australia,A: Annual,2012,240020,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,AUS: Australia,A: Annual,2013,246480,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,AUS: Australia,A: Annual,2014,233450,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,AUS: Australia,A: Annual,2015,232980,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,AUS: Australia,A: Annual,2016,243300,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,AUS: Australia,A: Annual,2017,270730,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,AUS: Australia,A: Annual,2018,267220,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,AUS: Australia,A: Annual,2019,277320,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,AUS: Australia,A: Annual,2020,248730,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,AUS: Australia,A: Annual,2021,74420,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,1: Males,AUS: Australia,A: Annual,2022,198910,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,7: Northern Territory,A: Annual,2012,6750,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,7: Northern Territory,A: Annual,2013,7840,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,7: Northern Territory,A: Annual,2014,6260,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,7: Northern Territory,A: Annual,2015,6900,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,7: Northern Territory,A: Annual,2016,6370,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,7: Northern Territory,A: Annual,2017,6900,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,7: Northern Territory,A: Annual,2018,5020,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,7: Northern Territory,A: Annual,2019,5550,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,7: Northern Territory,A: Annual,2020,4120,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,7: Northern Territory,A: Annual,2021,1450,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,7: Northern Territory,A: Annual,2022,4910,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,4: South Australia,A: Annual,2012,22980,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,4: South Australia,A: Annual,2013,22580,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,4: South Australia,A: Annual,2014,23620,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,4: South Australia,A: Annual,2015,23280,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,4: South Australia,A: Annual,2016,23410,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,4: South Australia,A: Annual,2017,23820,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,4: South Australia,A: Annual,2018,24100,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,4: South Australia,A: Annual,2019,26650,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,4: South Australia,A: Annual,2020,27740,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,4: South Australia,A: Annual,2021,6020,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,3: Persons,4: South Australia,A: Annual,2022,20940,NUM: Number,,,30-6: Year Ending 30 June
